source,name,alias,isni,type,lat,lon,country,alpha2
http://www.wikidata.org/entity/Q4201818,A.V. Vishnevsky Institute of Surgery,Институт хирургии имени А.В.Вишневского; Институт хирургии имени Александра Васильевича Вишневского; Научно-исследовательский институт хирургии имени Александра Васильевича Вишневского,,research_institute,55.724847,37.627402,Russia,RU
http://www.wikidata.org/entity/Q4686016,Adva Center,מכון אדוה; מכון אדווה; מרכז אדווה,,research_institute,32.062166666667,34.774638888889,Israel,IL
http://www.wikidata.org/entity/Q3595325,Advanced Materials and Processes Research Institute,Advanced Materials and Processes Research Institute; എ.എം.പി.ആർ.ഐ,,research_institute,23.210803,77.446008,India,IN
http://www.wikidata.org/entity/Q2826172,African Institute for Mathematical Sciences,African institute for mathematical sciences; African Institute For Mathematical Sciences; Aims,,research_institute,-34.1072,18.4706,South Africa,ZA
http://www.wikidata.org/entity/Q26356964,Agricultural Research Institute,,,research_institute,51.757656,-1.256583,United Kingdom,GB
http://www.wikidata.org/entity/Q1803674,AlbaNova,Alba Nova; Albanova Universitetscentrum; Fysikcentrum; SCFAB,,research_institute,59.35388889,18.05805556,Sweden,SE
http://www.wikidata.org/entity/Q4709376,Albany Research Center,,,research_institute,44.6203,-123.121,United States,US
http://www.wikidata.org/entity/Q4723914,Alfréd Rényi Institute of Mathematics,,,research_institute,47.49277778,19.05888889,Hungary,HU
http://www.wikidata.org/entity/Q463262,American Academy in Berlin,Henry-Kissinger-Preis,,research_institute,52.4247,13.1797,Germany,DE
http://www.wikidata.org/entity/Q4745875,Ames Laboratory,埃姆斯實驗室; 艾姆斯国家实验室,0000 0001 0690 157X,research_institute,42.0305,-93.6482,United States,US
http://www.wikidata.org/entity/Q181052,Ames Research Center,ARC; ARC; NASA Ames Research Center; NASA Ames; Centre de recherche Ames; NASA Ames Research Center; エームズ研究センター; エームズ研究所; エイムズリサーチセンター; エイムズ研究所; エイムズ航空研究所; Ames Research Center; NASA Ames Research Center; Ames Research Center; NASA Ames; Ames Research Center; NASA Ames Research Center; NASA Ames Research Center; NASA Ames Research Park; NASA Ames; NASA Ames Research Center; 艾姆斯研究中心; 艾密斯研究中心; NASA阿姆斯研究中心,0000 0001 1955 7990,research_institute,37.415229,-122.06265,United States,US
http://www.wikidata.org/entity/Q1968068,Arctic and Antarctic Research Institute,AARI; ААНИИ; Арктико-Антарктический научно-исследовательский институт; Арктический институт; НИИ Арктики и Антарктики,,research_institute,59.946528,30.233333,Russia,RU
http://www.wikidata.org/entity/Q16821768,Arid Forest Research Institute,,,research_institute,26.2287,73.0314,India,IN
http://www.wikidata.org/entity/Q4807801,Aspen Center for Physics,,,research_institute,39.1981,-106.829,United States,US
http://www.wikidata.org/entity/Q3695634,Astro Space Center,АКЦ ФИАН; Астрокосмический центр; Астрокосмический центр Физического института; Астрокосмический центр Физического института им. П. Н. Лебедева РАН,,research_institute,55.6544,37.5334,Russia,RU
